Ma_Magnitude,Points_0,Points_1,Points_2,  p_p0
  0.47350259,  0.00000000,  0.00000000,  0.00000000,  0.86351430
  0.47358195,  0.01000000,  0.00000000,  0.00000000,  0.86347259
  0.47382007,  0.02000000,  0.00000000,  0.00000000,  0.86334742
  0.47421711,  0.03000000,  0.00000000,  0.00000000,  0.86313861
  0.47477333,  0.04000000,  0.00000000,  0.00000000,  0.86284591
  0.47548910,  0.05000000,  0.00000000,  0.00000000,  0.86246893
  0.47636488,  0.06000000,  0.00000000,  0.00000000,  0.86200718
  0.47740123,  0.07000000,  0.00000000,  0.00000000,  0.86146006
  0.47859884,  0.08000000,  0.00000000,  0.00000000,  0.86082689
  0.47995848,  0.09000000,  0.00000000,  0.00000000,  0.86010683
  0.48148101,  0.10000000,  0.00000000,  0.00000000,  0.85929898
  0.48316740,  0.11000000,  0.00000000,  0.00000000,  0.85840230
  0.48501873,  0.12000000,  0.00000000,  0.00000000,  0.85741568
  0.48703615,  0.13000000,  0.00000000,  0.00000000,  0.85633786
  0.48922093,  0.14000000,  0.00000000,  0.00000000,  0.85516751
  0.49157441,  0.15000000,  0.00000000,  0.00000000,  0.85390318
  0.49409803,  0.16000000,  0.00000000,  0.00000000,  0.85254333
  0.49679332,  0.17000000,  0.00000000,  0.00000000,  0.85108629
  0.49966188,  0.18000000,  0.00000000,  0.00000000,  0.84953032
  0.50270540,  0.19000000,  0.00000000,  0.00000000,  0.84787358
  0.50592565,  0.20000000,  0.00000000,  0.00000000,  0.84611411
  0.50932448,  0.21000000,  0.00000000,  0.00000000,  0.84424988
  0.51290378,  0.22000000,  0.00000000,  0.00000000,  0.84227878
  0.51666555,  0.23000000,  0.00000000,  0.00000000,  0.84019858
  0.52061181,  0.24000000,  0.00000000,  0.00000000,  0.83800699
  0.52474466,  0.25000000,  0.00000000,  0.00000000,  0.83570166
  0.52906624,  0.26000000,  0.00000000,  0.00000000,  0.83328012
  0.53357872,  0.27000000,  0.00000000,  0.00000000,  0.83073990
  0.53828433,  0.28000000,  0.00000000,  0.00000000,  0.82807841
  0.54318532,  0.29000000,  0.00000000,  0.00000000,  0.82529304
  0.54828396,  0.30000000,  0.00000000,  0.00000000,  0.82238115
  0.55358252,  0.31000000,  0.00000000,  0.00000000,  0.81934005
  0.55908329,  0.32000000,  0.00000000,  0.00000000,  0.81616701
  0.56478855,  0.33000000,  0.00000000,  0.00000000,  0.81285934
  0.57070057,  0.34000000,  0.00000000,  0.00000000,  0.80941430
  0.57682157,  0.35000000,  0.00000000,  0.00000000,  0.80582920
  0.58315376,  0.36000000,  0.00000000,  0.00000000,  0.80210136
  0.58969929,  0.37000000,  0.00000000,  0.00000000,  0.79822816
  0.59646023,  0.38000000,  0.00000000,  0.00000000,  0.79420704
  0.60343860,  0.39000000,  0.00000000,  0.00000000,  0.79003551
  0.61063631,  0.40000000,  0.00000000,  0.00000000,  0.78571119
  0.61805518,  0.41000000,  0.00000000,  0.00000000,  0.78123182
  0.62569689,  0.42000000,  0.00000000,  0.00000000,  0.77659529
  0.63356302,  0.43000000,  0.00000000,  0.00000000,  0.77179964
  0.64165496,  0.44000000,  0.00000000,  0.00000000,  0.76684310
  0.64997396,  0.45000000,  0.00000000,  0.00000000,  0.76172411
  0.65852108,  0.46000000,  0.00000000,  0.00000000,  0.75644138
  0.66729716,  0.47000000,  0.00000000,  0.00000000,  0.75099382
  0.67630284,  0.48000000,  0.00000000,  0.00000000,  0.74538069
  0.68553853,  0.49000000,  0.00000000,  0.00000000,  0.73960152
  0.69500437,  0.50000000,  0.00000000,  0.00000000,  0.73365619
  0.70470025,  0.51000000,  0.00000000,  0.00000000,  0.72754496
  0.71462575,  0.52000000,  0.00000000,  0.00000000,  0.72126846
  0.72478017,  0.53000000,  0.00000000,  0.00000000,  0.71482773
  0.73516247,  0.54000000,  0.00000000,  0.00000000,  0.70822426
  0.74577129,  0.55000000,  0.00000000,  0.00000000,  0.70145998
  0.75660491,  0.56000000,  0.00000000,  0.00000000,  0.69453730
  0.76766126,  0.57000000,  0.00000000,  0.00000000,  0.68745911
  0.77893788,  0.58000000,  0.00000000,  0.00000000,  0.68022882
  0.79043193,  0.59000000,  0.00000000,  0.00000000,  0.67285033
  0.80214017,  0.60000000,  0.00000000,  0.00000000,  0.66532807
  0.81405896,  0.61000000,  0.00000000,  0.00000000,  0.65766700
  0.82618425,  0.62000000,  0.00000000,  0.00000000,  0.64987260
  0.83851155,  0.63000000,  0.00000000,  0.00000000,  0.64195086
  0.85103597,  0.64000000,  0.00000000,  0.00000000,  0.63390830
  0.86375220,  0.65000000,  0.00000000,  0.00000000,  0.62575190
  0.87665450,  0.66000000,  0.00000000,  0.00000000,  0.61748916
  0.88973670,  0.67000000,  0.00000000,  0.00000000,  0.60912801
  0.90299224,  0.68000000,  0.00000000,  0.00000000,  0.60067683
  0.91641414,  0.69000000,  0.00000000,  0.00000000,  0.59214438
  0.92999502,  0.70000000,  0.00000000,  0.00000000,  0.58353980
  0.94372713,  0.71000000,  0.00000000,  0.00000000,  0.57487255
  0.95760234,  0.72000000,  0.00000000,  0.00000000,  0.56615238
  0.97161215,  0.73000000,  0.00000000,  0.00000000,  0.55738927
  0.98574776,  0.74000000,  0.00000000,  0.00000000,  0.54859340
  1.00000000,  0.75000000,  0.00000000,  0.00000000,  0.53977509
  1.01435945,  0.76000000,  0.00000000,  0.00000000,  0.53094476
  1.02881638,  0.77000000,  0.00000000,  0.00000000,  0.52211287
  1.04336084,  0.78000000,  0.00000000,  0.00000000,  0.51328984
  1.05798263,  0.79000000,  0.00000000,  0.00000000,  0.50448607
  1.07267136,  0.80000000,  0.00000000,  0.00000000,  0.49571182
  1.08741646,  0.81000000,  0.00000000,  0.00000000,  0.48697718
  1.10220724,  0.82000000,  0.00000000,  0.00000000,  0.47829206
  1.11703287,  0.83000000,  0.00000000,  0.00000000,  0.46966609
  1.13188243,  0.84000000,  0.00000000,  0.00000000,  0.46110860
  1.14674495,  0.85000000,  0.00000000,  0.00000000,  0.45262859
  1.16160941,  0.86000000,  0.00000000,  0.00000000,  0.44423471
  1.17646481,  0.87000000,  0.00000000,  0.00000000,  0.43593517
  1.19130013,  0.88000000,  0.00000000,  0.00000000,  0.42773779
  1.20610443,  0.89000000,  0.00000000,  0.00000000,  0.41964991
  1.22086682,  0.90000000,  0.00000000,  0.00000000,  0.41167842
  1.23557650,  0.91000000,  0.00000000,  0.00000000,  0.40382972
  1.25022280,  0.92000000,  0.00000000,  0.00000000,  0.39610972
  1.26479517,  0.93000000,  0.00000000,  0.00000000,  0.38852382
  1.27928322,  0.94000000,  0.00000000,  0.00000000,  0.38107694
  1.29367672,  0.95000000,  0.00000000,  0.00000000,  0.37377349
  1.30796564,  0.96000000,  0.00000000,  0.00000000,  0.36661741
  1.32214015,  0.97000000,  0.00000000,  0.00000000,  0.35961212
  1.33619063,  0.98000000,  0.00000000,  0.00000000,  0.35276060
  1.35010770,  0.99000000,  0.00000000,  0.00000000,  0.34606537
  1.36388220,  1.00000000,  0.00000000,  0.00000000,  0.33952849
  1.37750522,  1.01000000,  0.00000000,  0.00000000,  0.33315162
  1.39096812,  1.02000000,  0.00000000,  0.00000000,  0.32693600
  1.40426248,  1.03000000,  0.00000000,  0.00000000,  0.32088252
  1.41738019,  1.04000000,  0.00000000,  0.00000000,  0.31499167
  1.43031337,  1.05000000,  0.00000000,  0.00000000,  0.30926364
  1.44305442,  1.06000000,  0.00000000,  0.00000000,  0.30369828
  1.45559601,  1.07000000,  0.00000000,  0.00000000,  0.29829518
  1.46793107,  1.08000000,  0.00000000,  0.00000000,  0.29305365
  1.48005282,  1.09000000,  0.00000000,  0.00000000,  0.28797275
  1.49195471,  1.10000000,  0.00000000,  0.00000000,  0.28305133
  1.50363048,  1.11000000,  0.00000000,  0.00000000,  0.27828806
  1.51507413,  1.12000000,  0.00000000,  0.00000000,  0.27368140
  1.52627988,  1.13000000,  0.00000000,  0.00000000,  0.26922969
  1.53724225,  1.14000000,  0.00000000,  0.00000000,  0.26493113
  1.54795597,  1.15000000,  0.00000000,  0.00000000,  0.26078379
  1.55841602,  1.16000000,  0.00000000,  0.00000000,  0.25678565
  1.56861762,  1.17000000,  0.00000000,  0.00000000,  0.25293464
  1.57855621,  1.18000000,  0.00000000,  0.00000000,  0.24922858
  1.58822745,  1.19000000,  0.00000000,  0.00000000,  0.24566529
  1.59762723,  1.20000000,  0.00000000,  0.00000000,  0.24224253
  1.60675164,  1.21000000,  0.00000000,  0.00000000,  0.23895804
  1.61559696,  1.22000000,  0.00000000,  0.00000000,  0.23580957
  1.62415969,  1.23000000,  0.00000000,  0.00000000,  0.23279486
  1.63243649,  1.24000000,  0.00000000,  0.00000000,  0.22991168
  1.64042424,  1.25000000,  0.00000000,  0.00000000,  0.22715781
  1.64811996,  1.26000000,  0.00000000,  0.00000000,  0.22453107
  1.65552086,  1.27000000,  0.00000000,  0.00000000,  0.22202933
  1.66262432,  1.28000000,  0.00000000,  0.00000000,  0.21965049
  1.66942785,  1.29000000,  0.00000000,  0.00000000,  0.21739252
  1.67592915,  1.30000000,  0.00000000,  0.00000000,  0.21525345
  1.68212603,  1.31000000,  0.00000000,  0.00000000,  0.21323138
  1.68801646,  1.32000000,  0.00000000,  0.00000000,  0.21132447
  1.69359855,  1.33000000,  0.00000000,  0.00000000,  0.20953095
  1.69887053,  1.34000000,  0.00000000,  0.00000000,  0.20784916
  1.70383076,  1.35000000,  0.00000000,  0.00000000,  0.20627750
  1.70847772,  1.36000000,  0.00000000,  0.00000000,  0.20481444
  1.71281002,  1.37000000,  0.00000000,  0.00000000,  0.20345858
  1.71682637,  1.38000000,  0.00000000,  0.00000000,  0.20220858
  1.72052559,  1.39000000,  0.00000000,  0.00000000,  0.20106319
  1.72390661,  1.40000000,  0.00000000,  0.00000000,  0.20002128
  1.72696848,  1.41000000,  0.00000000,  0.00000000,  0.19908179
  1.72971031,  1.42000000,  0.00000000,  0.00000000,  0.19824378
  1.73213135,  1.43000000,  0.00000000,  0.00000000,  0.19750637
  1.73423092,  1.44000000,  0.00000000,  0.00000000,  0.19686882
  1.73600845,  1.45000000,  0.00000000,  0.00000000,  0.19633048
  1.73746345,  1.46000000,  0.00000000,  0.00000000,  0.19589077
  1.73859552,  1.47000000,  0.00000000,  0.00000000,  0.19554925
  1.73940437,  1.48000000,  0.00000000,  0.00000000,  0.19530556
  1.73988976,  1.49000000,  0.00000000,  0.00000000,  0.19515945
  1.74005157,  1.50000000,  0.00000000,  0.00000000,  0.19511077
